"パケット","シーケンス","間隔 (ms)","ジッタ (ms)","Skew","帯域","マーカー","状態"
"127.0.0.1:6000 → 127.0.0.1:6000 (0xca110000)"
136,65,32.24199999999996,6.511161110804625,-5.2439999999999145,80,"","OK"
137,66,15.860999999999876,6.362901041379343,-1.1049999999997908,80,"","OK"
139,67,15.997000000000071,6.21540722629313,2.8980000000001382,81.6,"","OK"
141,68,16.008000000000038,6.076444274649807,6.8900000000001,81.6,"","OK"
143,69,31.141000000000076,6.3929790074841994,-4.250999999999976,80,"","OK"
145,70,15.205999999999904,6.293042819516443,0.54300000000012,81.6,"","OK"
147,71,15.218000000000075,6.1986026432966606,5.3250000000000455,81.6,"","OK"
150,72,31.135999999999967,6.507189978090617,-5.810999999999922,80,"","OK"
151,73,15.310999999999922,6.393553104459958,-1.1219999999998436,81.6,"","OK"
153,74,15.356999999999971,6.2841435354312125,3.5210000000001855,81.6,"","OK"
155,75,15.740000000000009,6.157634564466761,7.781000000000176,81.6,"","OK"
157,76,30.104000000000042,6.404282404187591,-2.3229999999998654,80,"","OK"
159,77,15.679000000000087,6.274077253925861,1.9980000000000473,81.6,"","OK"
161,78,15.67599999999993,6.1521974255554985,6.322000000000116,81.6,"","OK"
163,79,31.317999999999984,6.475060086458279,-4.995999999999867,80,"","OK"
165,80,16.09900000000016,6.314181331054626,-1.0950000000000273,81.6,"","OK"
167,81,15.396999999999935,6.207232497863716,3.508000000000038,81.6,"","OK"
169,82,15.64799999999991,6.091280466747239,7.860000000000127,81.6,"","OK"
172,83,31.077999999999975,6.4029504375755355,-3.217999999999847,80,"","OK"
173,84,14.942000000000007,6.318891035227064,1.8400000000001455,81.6,"","OK"
175,85,14.937000000000126,6.240397845525364,6.90300000000002,81.6,"","OK"
177,86,31.283999999999878,6.555622980180021,-4.380999999999858,80,"","OK"
179,87,15.747000000000071,6.411709043918766,-0.12799999999992906,81.6,"","OK"
181,88,15.308999999999969,6.304164728673845,4.563000000000102,81.6,"","OK"
183,89,15.488000000000056,6.192154433131726,9.075000000000045,81.6,"","OK"
186,90,30.786000000000058,6.479269781060998,-1.7110000000000127,80,"","OK"
187,91,15.623000000000047,6.347877919744683,2.66599999999994,81.6,"","OK"
189,92,15.730999999999767,6.217948049760654,6.935000000000173,81.6,"","OK"
191,93,32.08899999999994,6.58488879665061,-5.153999999999769,80,"","OK"
193,94,15.562000000000126,6.450708246859939,-0.7159999999998945,81.6,"","OK"
195,95,15.519999999999982,6.327538981431195,3.7640000000001237,81.6,"","OK"
197,96,15.236000000000104,6.229817795091739,8.52800000000002,81.6,"","OK"
199,97,31.753999999999905,6.5750791828985,-3.2259999999998854,80,"","OK"
201,98,15.927999999999884,6.41863673396735,0.846000000000231,81.6,"","OK"
203,99,15,6.329971938094391,5.846000000000231,81.6,"","OK"
206,100,30.85900000000015,6.613036191963501,-5.01299999999992,80,"","OK"
207,101,14.839999999999918,6.5222214299657875,0.1470000000001619,81.6,"","OK"
209,102,15.258000000000266,6.4109575905929095,4.888999999999896,81.6,"","OK"
211,103,31.277999999999793,6.715147741180839,-6.389000000000124,80,"","OK"
213,104,15.742999999999938,6.5615135073570405,-2.132000000000062,80,"","OK"
215,105,14.771000000000186,6.478231413147214,3.0969999999997526,81.6,"","OK"
217,106,15.007000000000062,6.38540444982551,8.08999999999969,81.6,"","OK"
220,107,30.31999999999971,6.631316671711397,-2.230000000000018,80,"","OK"
221,108,15.851000000000113,6.476171879729427,1.918999999999869,81.6,"","OK"
223,109,14.978000000000065,6.385286137246334,6.9409999999998035,81.6,"","OK"
225,110,31.73799999999983,6.719830753668427,-4.7970000000000255,80,"","OK"
227,111,15.226000000000113,6.598216331564143,-0.023000000000138243,80,"","OK"
229,112,15.159999999999854,6.488327810841393,4.817000000000007,81.6,"","OK"
232,113,31.639000000000124,6.8102448226638135,-6.822000000000116,80,"","OK"
233,114,15.271999999999935,6.680104521247329,-2.094000000000051,80,"","OK"
235,115,15.246000000000095,6.559722988669365,2.6599999999998545,81.6,"","OK"
